<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	14235.6400	14255.3080	14218.5900	14240.5930	3524	0	1420
2024.01.01	01:00:00	14240.5860	14293.1330	14227.2190	14280.6780	3542	0	1420
2024.01.01	02:00:00	14280.6540	14280.6540	14254.6240	14257.3400	3550	0	1420
2024.01.01	03:00:00	14257.3270	14291.1050	14256.7410	14281.9010	3524	0	1420
2024.01.01	04:00:00	14281.8990	14303.7830	14267.8200	14290.0900	3533	0	1420
2024.01.01	05:00:00	14290.0870	14314.5910	14283.9950	14283.9950	3517	0	1420
2024.01.01	06:00:00	14283.9870	14283.9870	14252.4140	14263.2200	3529	0	1420
2024.01.01	07:00:00	14263.2110	14264.0100	14244.7760	14256.5470	3509	0	1420
2024.01.01	08:00:00	14256.5300	14285.1400	14244.7260	14244.7260	3531	0	1420
2024.01.01	09:00:00	14244.7080	14275.5370	14235.6540	14254.1970	3542	0	1420
2024.01.01	10:00:00	14254.1720	14282.3820	14245.5080	14245.5180	3530	0	1420
2024.01.01	11:00:00	14245.5130	14245.5130	14193.5230	14193.5230	3524	0	1410
2024.01.01	12:00:00	14193.5170	14226.9770	14192.4030	14203.9330	3530	0	1410
2024.01.01	13:00:00	14203.9240	14238.7960	14202.6260	14216.7140	3541	0	1420
2024.01.01	14:00:00	14216.6870	14216.6870	14181.5290	14191.1740	3523	0	1410
2024.01.01	15:00:00	14191.1570	14205.8870	14148.3760	14202.4910	3528	0	1410
2024.01.01	16:00:00	14202.4790	14217.5580	14188.3650	14191.2170	3530	0	1410
2024.01.01	17:00:00	14191.2150	14213.2620	14174.6920	14178.8470	3533	0	1410
2024.01.01	18:00:00	14178.8210	14256.5910	14174.6210	14255.2470	3533	0	1410
2024.01.01	19:00:00	14255.2220	14260.0760	14232.2700	14256.4170	3529	0	1420
2024.01.01	20:00:00	14256.3930	14258.0100	14232.5510	14257.6350	3539	0	1420
2024.01.01	21:00:00	14257.6300	14373.8720	14254.3370	14363.5390	3542	0	1420
2024.01.01	22:00:00	14363.5330	14363.5330	14315.9080	14315.9080	3522	0	1430
2024.01.01	23:00:00	14315.8990	14317.4260	14287.0400	14317.2190	3534	0	1420
2024.01.02	00:00:00	14317.2190	14339.8150	14306.5450	14328.7180	3539	0	1430
2024.01.02	01:00:00	14328.7090	14379.3220	14326.1230	14356.3340	3538	0	1430
2024.01.02	02:00:00	14356.3340	14370.9060	14344.9820	14344.9820	3531	0	1430
2024.01.02	03:00:00	14344.9750	14344.9750	14315.4240	14315.4240	3521	0	1430
2024.01.02	04:00:00	14315.4080	14346.6650	14311.3940	14315.3880	3525	0	1430
2024.01.02	05:00:00	14315.3820	14315.3820	14275.7080	14275.7080	3524	0	1420
2024.01.02	06:00:00	14275.7060	14320.8640	14272.2730	14302.1130	3540	0	1420
2024.01.02	07:00:00	14302.0850	14307.8270	14273.4470	14299.3120	3523	0	1420
2024.01.02	08:00:00	14299.2940	14300.7810	14269.1930	14269.1930	3533	0	1420
2024.01.02	09:00:00	14269.1810	14269.1810	14221.5470	14230.7530	3521	0	1420
2024.01.02	10:00:00	14230.7230	14242.3720	14198.0740	14230.8770	3547	0	1410
2024.01.02	11:00:00	14230.8690	14258.1100	14208.5760	14254.9170	3533	0	1420
2024.01.02	12:00:00	14254.9030	14302.6450	14249.9780	14269.5640	3534	0	1420
2024.01.02	13:00:00	14269.5330	14302.5850	14253.8000	14276.6970	3523	0	1420
